cls_type_id,code,parent_code,name,color
7,01.006.0035.0502,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОВЯЛЕНЫЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0503,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ ВЕСОВЫЕ,CCCCCC
7,01.006.0035.0504,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ВЕС,CCCCCC
7,01.006.0035.0505,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0506,01.006.0035,МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0035.0766,01.006.0035,СНЕКИ ШТУЧНЫЕ,CCCCCC
7,01.006.0064.0314,01.006.0064,КОЛБАСЫ ВАРЕНЫЕ ВЕСОВАЯ,CCCCCC
7,01.006.0064.0315,01.006.0064,КОЛБАСЫ ВАРЕНЫЕ НАРЕЗКА ВЕСОВАЯ,CCCCCC
7,01.006.0064.0316,01.006.0064,КОЛБАСЫ ВАРЕНЫЕ НАРЕЗКА ШТУЧНАЯ,CCCCCC
7,01.006.0064.0317,01.006.0064,КОЛБАСЫ ВАРЕНЫЕ ШТУЧНАЯ,CCCCCC
7,01.006.0065.0318,01.006.0065,КОЛБАСЫ КОПЧЕНЫЕ ВЕСОВЫЕ,CCCCCC
7,01.006.0065.0319,01.006.0065,КОЛБАСЫ КОПЧЕНЫЕ НАРЕЗКА ВЕСОВАЯ,CCCCCC
7,01.006.0065.0320,01.006.0065,КОЛБАСЫ КОПЧЕНЫЕ НАРЕЗКА ШТУЧНАЯ,CCCCCC
7,01.006.0065.0321,01.006.0065,КОЛБАСЫ КОПЧЕНЫЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0066.0322,01.006.0066,КОЛБАСЫ СЫРОВЯЛЕННЫЕ ВЕС,CCCCCC
7,01.006.0066.0325,01.006.0066,КОЛБАСЫ СЫРОВЯЛЕННЫЕ НАРЕЗКА ВЕС,CCCCCC
7,01.006.0066.0323,01.006.0066,КОЛБАСЫ СЫРОВЯЛЕННЫЕ НАРЕЗКА ШТУЧНАЯ,CCCCCC
7,01.006.0066.0324,01.006.0066,КОЛБАСЫ СЫРОВЯЛЕННЫЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0067.0325,01.006.0067,КОЛБАСЫ СЫРОКОПЧЕНЫЕ ВЕС,CCCCCC
7,01.006.0067.0326,01.006.0067,КОЛБАСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ВЕС,CCCCCC
7,01.006.0067.0327,01.006.0067,КОЛБАСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ШТУЧНАЯ,CCCCCC
7,01.006.0067.0328,01.006.0067,КОЛБАСЫ СЫРОКОПЧЕНЫЕ ШТУЧНЫЕ,CCCCCC
7,01.006.0123.0567,01.006.0123,ПАШТЕТЫ ВЕС,CCCCCC
7,01.006.0123.0571,01.006.0123,ПАШТЕТЫ ШТУЧНЫЕ,CCCCCC
7,01.006.0133.0620,01.006.0133,ПО КОЛБАСЫ СЫРОКОПЧЕНЫЕ ВЕС,CCCCCC
7,01.006.0133.0635,01.006.0133,ПО СНЕКИ ВЕСОВЫЕ,CCCCCC
7,01.006.0133.0636,01.006.0133,ПО СНЕКИ ШТУЧНЫЕ,CCCCCC
7,01.006.0159.0708,01.006.0159,САЛО ВЕСОВОЕ,CCCCCC
7,01.006.0159.0709,01.006.0159,САЛО КОПЧЕНОЕ ПРОМ.ПР-ВО,CCCCCC
7,01.006.0159.0710,01.006.0159,САЛО СОЛЕНОЕ ПРОМ.ПР-ВО,CCCCCC
7,01.006.0161.0780,01.006.0161,"СОСИСКИ, САРДЕЛЬКИ, ШПИКАЧИКИ ВЕСОВАЯ",CCCCCC
