name,code,parent_code,cls_type_id
МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОВЯЛЕНЫЕ НАРЕЗКА ШТУЧНЫЕ,01.006.0035.0501,01.006.0035,7
МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОВЯЛЕНЫЕ ШТУЧНЫЕ,01.006.0035.0502,01.006.0035,7
МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ ВЕСОВЫЕ,01.006.0035.0503,01.006.0035,7
МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ВЕС,01.006.0035.0504,01.006.0035,7
МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ШТУЧНЫЕ,01.006.0035.0505,01.006.0035,7
МЯСНЫЕ ДЕЛИКАТЕСЫ СЫРОКОПЧЕНЫЕ ШТУЧНЫЕ,01.006.0035.0506,01.006.0035,7
СНЕКИ ШТУЧНЫЕ,01.006.0035.0766,01.006.0035,7
КОЛБАСЫ ВАРЕНЫЕ,01.006.0064,01.006,7
КОЛБАСЫ ВАРЕНЫЕ ВЕСОВАЯ,01.006.0064.0314,01.006.0064,7
КОЛБАСЫ ВАРЕНЫЕ НАРЕЗКА ВЕСОВАЯ,01.006.0064.0315,01.006.0064,7
КОЛБАСЫ ВАРЕНЫЕ НАРЕЗКА ШТУЧНАЯ,01.006.0064.0316,01.006.0064,7
КОЛБАСЫ ВАРЕНЫЕ ШТУЧНАЯ,01.006.0064.0317,01.006.0064,7
КОЛБАСЫ КОПЧЕНЫЕ,01.006.0065,01.006,7
КОЛБАСЫ КОПЧЕНЫЕ ВЕСОВЫЕ,01.006.0065.0318,01.006.0065,7
КОЛБАСЫ КОПЧЕНЫЕ НАРЕЗКА ВЕСОВАЯ,01.006.0065.0319,01.006.0065,7
КОЛБАСЫ КОПЧЕНЫЕ НАРЕЗКА ШТУЧНАЯ,01.006.0065.0320,01.006.0065,7
КОЛБАСЫ КОПЧЕНЫЕ ШТУЧНЫЕ,01.006.0065.0321,01.006.0065,7
КОЛБАСЫ СЫРОВЯЛЕННЫЕ,01.006.0066,01.006,7
КОЛБАСЫ СЫРОВЯЛЕННЫЕ ВЕС,01.006.0066.0322,01.006.0066,7
КОЛБАСЫ СЫРОВЯЛЕННЫЕ НАРЕЗКА ВЕС,01.006.0066.0325,01.006.0066,7
КОЛБАСЫ СЫРОВЯЛЕННЫЕ НАРЕЗКА ШТУЧНАЯ,01.006.0066.0323,01.006.0066,7
КОЛБАСЫ СЫРОВЯЛЕННЫЕ ШТУЧНЫЕ,01.006.0066.0324,01.006.0066,7
